A:FA X:00 Y:00 S:FD P:NvUbdIzc   $C0F1: 85 3B     STA $3B = #$B4
A:FA X:00 Y:00 S:FD P:NvUbdIzc   $C0F3: C8        INY
A:FA X:00 Y:01 S:FD P:nvUbdIzc   $C0F4: 8A        TXA
A:00 X:00 Y:01 S:FD P:nvUbdIZc   $C0F5: 48        PHA
A:00 X:00 Y:01 S:FC P:nvUbdIZc    $C0F6: B1 3A     LDA ($3A),Y @ $FA73 = #$7B
A:7B X:00 Y:01 S:FC P:nvUbdIzc    $C0F8: AA        TAX
A:7B X:7B Y:01 S:FC P:nvUbdIzc    $C0F9: C8        INY
A:7B X:7B Y:02 S:FC P:nvUbdIzc    $C0FA: B1 3A     LDA ($3A),Y @ $FA74 = #$FA
A:FA X:7B Y:02 S:FC P:NvUbdIzc    $C0FC: 85 3B     STA $3B = #$FA
A:FA X:7B Y:02 S:FC P:NvUbdIzc    $C0FE: 86 3A     STX $3A = #$72
A:FA X:7B Y:02 S:FC P:NvUbdIzc    $C100: 68        PLA
A:00 X:7B Y:02 S:FD P:nvUbdIZc   $C101: AA        TAX
A:00 X:00 Y:02 S:FD P:nvUbdIZc   $C102: 6C 3A 00  JMP ($003A) = $FA7B
A:00 X:00 Y:02 S:FD P:nvUbdIZc   $FA7B: CE F2 04  DEC $04F2 = #$00
A:00 X:00 Y:02 S:FD P:NvUbdIzc   $FA7E: AD F2 04  LDA $04F2 = #$FF
A:FF X:00 Y:02 S:FD P:NvUbdIzc   $FA81: C9 F0     CMP #$F0
A:FF X:00 Y:02 S:FD P:nvUbdIzC   $FA83: 90 05     BCC $FA8A
A:FF X:00 Y:02 S:FD P:nvUbdIzC   $FA85: A9 00     LDA #$00
A:00 X:00 Y:02 S:FD P:nvUbdIZC   $FA87: 8D F2 04  STA $04F2 = #$FF
A:00 X:00 Y:02 S:FD P:nvUbdIZC   $FA8A: A9 00     LDA #$00
A:00 X:00 Y:02 S:FD P:nvUbdIZC   $FA8C: 8D F3 04  STA $04F3 = #$00
A:00 X:00 Y:02 S:FD P:nvUbdIZC   $FA8F: 60        RTS (from $FA6D) ----------------------------
A:00 X:00 Y:02 S:FF P:nvUbdIZC $F4A1: AD 02 20  LDA $2002 = #$12
A:12 X:00 Y:02 S:FF P:nvUbdIzC $F4A4: 20 5B D5  JSR $D55B
A:12 X:00 Y:02 S:FD P:nvUbdIzC   $D55B: AD 00 04  LDA $0400 = #$FF
A:FF X:00 Y:02 S:FD P:NvUbdIzC   $D55E: C9 FA     CMP #$FA
A:FF X:00 Y:02 S:FD P:nvUbdIzC   $D560: 90 16     BCC $D578
A:FF X:00 Y:02 S:FD P:nvUbdIzC   $D562: AD 12 04  LDA $0412 = #$00
A:00 X:00 Y:02 S:FD P:nvUbdIZC   $D565: D0 12     BNE $D579
A:00 X:00 Y:02 S:FD P:nvUbdIZC   $D567: AD 11 04  LDA $0411 = #$01
A:01 X:00 Y:02 S:FD P:nvUbdIzC   $D56A: C9 02     CMP #$02
A:01 X:00 Y:02 S:FD P:NvUbdIzc   $D56C: B0 0B     BCS $D579
A:01 X:00 Y:02 S:FD P:NvUbdIzc   $D56E: A5 87     LDA $87 = #$01
A:01 X:00 Y:02 S:FD P:nvUbdIzc   $D570: D0 06     BNE $D578
